replicate,diagnosed_weakness,diagnostic_evidence,tutorial_type,target_metric,pre_score,post_score,improvement
22,hole_avoidance,"{""bumpiness"": 0.45062499999999994, ""hole_avoidance"": 1.15, ""line_efficiency"": 1.0, ""stack_height"": 0.54875, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-38.45859051679932,-32.890653058361394,5.567937458437925
23,hole_avoidance,"{""bumpiness"": 0.571875, ""hole_avoidance"": 1.6612500000000001, ""line_efficiency"": 1.0, ""stack_height"": 0.60375, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-39.889836919147264,-37.71232831698163,2.1775086021656307
24,hole_avoidance,"{""bumpiness"": 0.44312500000000005, ""hole_avoidance"": 1.3925, ""line_efficiency"": 0.75, ""stack_height"": 0.59375, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-39.42350859017526,-35.2669244335911,4.1565841565841595
25,hole_avoidance,"{""bumpiness"": 0.5337500000000001, ""hole_avoidance"": 1.5625, ""line_efficiency"": 0.75, ""stack_height"": 0.58875, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-36.15410052910053,-39.889845679012346,-3.735745149911814
26,hole_avoidance,"{""bumpiness"": 0.42437500000000006, ""hole_avoidance"": 1.49125, ""line_efficiency"": 1.0, ""stack_height"": 0.615, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-33.633434343434345,-38.10642720306513,-4.472992859630786
27,hole_avoidance,"{""bumpiness"": 0.368125, ""hole_avoidance"": 1.4475, ""line_efficiency"": 1.0, ""stack_height"": 0.55125, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-37.3780925247592,-33.017395871956495,4.360696652802702
28,hole_avoidance,"{""bumpiness"": 0.44875, ""hole_avoidance"": 1.69375, ""line_efficiency"": 1.0, ""stack_height"": 0.6075, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-37.841296384774644,-38.466668937219225,-0.6253725524445812
29,hole_avoidance,"{""bumpiness"": 0.5225, ""hole_avoidance"": 1.5125, ""line_efficiency"": 1.0, ""stack_height"": 0.6025, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-38.708753163100994,-38.219196033851205,0.4895571292497891
30,hole_avoidance,"{""bumpiness"": 0.385625, ""hole_avoidance"": 2.1275, ""line_efficiency"": 1.0, ""stack_height"": 0.625, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-39.746423595561524,-36.36324575807335,3.3831778374881765
31,hole_avoidance,"{""bumpiness"": 0.378125, ""hole_avoidance"": 1.95625, ""line_efficiency"": 1.0, ""stack_height"": 0.5662499999999999, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-40.318447381925644,-35.60443494776828,4.714012434157361
32,hole_avoidance,"{""bumpiness"": 0.479375, ""hole_avoidance"": 1.6524999999999999, ""line_efficiency"": 1.0, ""stack_height"": 0.6275000000000001, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-42.763665288567836,-37.82736580427735,4.936299484290487
33,hole_avoidance,"{""bumpiness"": 0.42750000000000005, ""hole_avoidance"": 1.75125, ""line_efficiency"": 1.0, ""stack_height"": 0.55, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-39.31921062105063,-33.426890432098766,5.892320188951864
34,hole_avoidance,"{""bumpiness"": 0.456875, ""hole_avoidance"": 2.19125, ""line_efficiency"": 0.75, ""stack_height"": 0.6224999999999999, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-36.360940767920745,-41.430674811051155,-5.06973404313041
35,hole_avoidance,"{""bumpiness"": 0.63, ""hole_avoidance"": 1.4737500000000001, ""line_efficiency"": 1.0, ""stack_height"": 0.65625, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-37.22503202075512,-38.97422155324454,-1.7491895324894173
36,hole_avoidance,"{""bumpiness"": 0.563125, ""hole_avoidance"": 1.38625, ""line_efficiency"": 1.0, ""stack_height"": 0.57625, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-40.69012696703674,-36.50534527201194,4.184781695024803
37,hole_avoidance,"{""bumpiness"": 0.41375, ""hole_avoidance"": 1.42375, ""line_efficiency"": 1.0, ""stack_height"": 0.5575, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-39.31307879009028,-39.30965560230637,0.003423187783909043
38,hole_avoidance,"{""bumpiness"": 0.43499999999999994, ""hole_avoidance"": 1.34125, ""line_efficiency"": 1.0, ""stack_height"": 0.51375, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-36.65784419298288,-37.38919540229885,-0.7313512093159744
39,hole_avoidance,"{""bumpiness"": 0.448125, ""hole_avoidance"": 1.545, ""line_efficiency"": 1.0, ""stack_height"": 0.55625, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-37.356911045943306,-39.339082487603996,-1.9821714416606895
40,hole_avoidance,"{""bumpiness"": 0.43375, ""hole_avoidance"": 1.31375, ""line_efficiency"": 1.0, ""stack_height"": 0.5549999999999999, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-34.9162535202253,-36.43623910970782,-1.5199855894825234
41,hole_avoidance,"{""bumpiness"": 0.505625, ""hole_avoidance"": 1.53125, ""line_efficiency"": 1.0, ""stack_height"": 0.6475, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-44.58770146520146,-43.391829817691885,1.195871647509577
42,hole_avoidance,"{""bumpiness"": 0.53125, ""hole_avoidance"": 1.68875, ""line_efficiency"": 1.0, ""stack_height"": 0.59875, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-37.41800072186129,-35.28800803388169,2.129992687979602
43,hole_avoidance,"{""bumpiness"": 0.381875, ""hole_avoidance"": 1.41875, ""line_efficiency"": 1.0, ""stack_height"": 0.59875, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-37.550778554175295,-39.4206286407061,-1.8698500865308034
44,hole_avoidance,"{""bumpiness"": 0.4375, ""hole_avoidance"": 1.53375, ""line_efficiency"": 1.0, ""stack_height"": 0.63375, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-42.341671578740545,-37.951627707356295,4.3900438713842505
45,hole_avoidance,"{""bumpiness"": 0.495, ""hole_avoidance"": 1.8, ""line_efficiency"": 1.0, ""stack_height"": 0.6174999999999999, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-42.05291111825594,-38.68662076053459,3.366290357721354
46,hole_avoidance,"{""bumpiness"": 0.43499999999999994, ""hole_avoidance"": 1.57375, ""line_efficiency"": 1.0, ""stack_height"": 0.59875, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-34.49900378237234,-35.76613146113146,-1.2671276787591168
47,hole_avoidance,"{""bumpiness"": 0.4875, ""hole_avoidance"": 1.5050000000000001, ""line_efficiency"": 1.0, ""stack_height"": 0.5962500000000001, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-43.358727556972134,-38.838789682539684,4.5199378744324505
48,hole_avoidance,"{""bumpiness"": 0.53625, ""hole_avoidance"": 1.58, ""line_efficiency"": 1.0, ""stack_height"": 0.5925, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-33.00417624521073,-32.636228182205194,0.3679480630055352
49,hole_avoidance,"{""bumpiness"": 0.446875, ""hole_avoidance"": 1.6787500000000002, ""line_efficiency"": 1.0, ""stack_height"": 0.6525000000000001, ""steps_observed"": 40.0}",hole_avoidance,hole_avoidance,-38.466271961063626,-38.759835703512174,-0.29356374244854777
